User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);n;t;k;AVG User time;AVG Percent of CPU;AVG Resident set;;;varianza user time;;
0,2;99;0:00.24;177360;0,2;99;0:00.25;177532;0,2;100;0:00.24;177532;0,18;100;0:00.24;177468;0,19;99;0:00.24;177504;0,19;99;0:00.25;177352;0,21;99;0:00.25;177476;0,2;100;0:00.25;177536;0,21;99;0:00.24;177204;0,19;100;0:00.24;177356;0,19;99;0:00.25;177356;0,19;99;0:00.24;177248;0,21;99;0:00.25;177540;80;90;5;0,196923077;99,30769231;177420,3077;;;8,97436E-05;;
0,2;99;0:00.25;177476;0,2;99;0:00.25;177476;0,2;100;0:00.24;177256;0,2;99;0:00.24;177244;0,19;99;0:00.25;177188;0,19;99;0:00.25;177600;0,2;99;0:00.25;177472;0,2;99;0:00.24;177480;0,19;99;0:00.24;177396;0,19;100;0:00.25;177432;0,2;99;0:00.25;177356;0,22;99;0:00.25;177252;0,19;99;0:00.24;177252;80;95;5;0,197692308;99,15384615;177375,3846;;;6,92308E-05;;
0,2;100;0:00.25;177252;0,19;99;0:00.24;177512;0,18;99;0:00.24;177608;0,2;100;0:00.24;177188;0,2;99;0:00.25;177504;0,2;99;0:00.24;177244;0,2;99;0:00.25;177200;0,19;99;0:00.25;177364;0,2;100;0:00.24;177548;0,19;100;0:00.25;177508;0,2;99;0:00.24;177484;0,2;99;0:00.25;177540;0,21;100;0:00.24;177484;80;100;5;0,196923077;99,38461538;177418,1538;;;5,64103E-05;;
0,21;100;0:00.25;177756;0,2;99;0:00.25;177252;0,19;100;0:00.25;177488;0,2;99;0:00.24;177740;0,2;100;0:00.24;177352;0,2;100;0:00.24;177484;0,19;100;0:00.24;177396;0,2;99;0:00.25;177612;0,18;100;0:00.24;177516;0,18;100;0:00.25;177484;0,18;99;0:00.24;177540;0,2;100;0:00.24;177464;0,18;100;0:00.25;177192;80;105;5;0,193076923;99,69230769;177482,7692;;;0,00010641;;
0,19;99;0:00.25;177196;0,19;100;0:00.25;177468;0,2;99;0:00.25;177196;0,19;99;0:00.25;177524;0,21;100;0:00.25;177504;0,21;99;0:00.25;177248;0,19;99;0:00.25;177256;0,2;100;0:00.25;177612;0,19;99;0:00.25;177516;0,19;99;0:00.25;177508;0,2;100;0:00.24;177464;0,19;100;0:00.25;177192;0,2;99;0:00.24;177768;80;110;5;0,196153846;99,38461538;177419,3846;;;5,89744E-05;;
0,19;99;0:00.24;177612;0,19;100;0:00.25;177748;0,19;99;0:00.24;177196;0,19;99;0:00.24;177480;0,21;100;0:00.25;177504;0,2;99;0:00.24;177428;0,19;99;0:00.25;177748;0,19;100;0:00.25;177516;0,2;100;0:00.24;177480;0,21;99;0:00.25;177464;0,19;100;0:00.24;177472;0,2;99;0:00.24;177604;0,18;99;0:00.24;177540;80;115;5;0,194615385;99,38461538;177522,4615;;;7,69231E-05;;
0,18;100;0:00.24;177468;0,19;100;0:00.25;177544;0,19;100;0:00.24;177532;0,2;99;0:00.24;177188;0,2;99;0:00.25;177924;0,19;100;0:00.25;177244;0,19;100;0:00.25;177260;0,21;99;0:00.25;177260;0,18;99;0:00.25;177756;0,19;100;0:00.24;177768;0,19;100;0:00.25;177432;0,21;100;0:00.25;177908;0,19;100;0:00.25;177768;80;120;5;0,193076923;99,69230769;177542,4615;;;8,97436E-05;;
0,19;100;0:00.25;177912;0,2;99;0:00.25;177912;0,2;99;0:00.24;177804;0,19;99;0:00.24;177848;0,21;100;0:00.25;177844;0,2;100;0:00.25;177904;0,18;99;0:00.25;177752;0,2;99;0:00.25;177260;0,2;99;0:00.25;177256;0,21;99;0:00.25;177432;0,2;99;0:00.25;177796;0,2;100;0:00.24;177508;0,19;99;0:00.25;177432;80;125;5;0,197692308;99,30769231;177666,1538;;;6,92308E-05;;
0,2;100;0:00.25;177740;0,19;100;0:00.24;177856;0,21;100;0:00.25;177436;0,2;99;0:00.24;177740;0,21;100;0:00.25;177732;0,19;100;0:00.24;177860;0,2;99;0:00.25;177872;0,19;99;0:00.25;177916;0,19;99;0:00.25;177440;0,2;99;0:00.25;177812;0,19;99;0:00.25;177796;0,18;99;0:00.24;177908;0,2;99;0:00.25;177736;80;130;5;0,196153846;99,38461538;177757,2308;;;7,5641E-05;;
0,19;100;0:00.25;177740;0,19;99;0:00.25;177848;0,2;100;0:00.24;177748;0,2;100;0:00.25;177244;0,2;99;0:00.25;177792;0,19;99;0:00.24;177732;0,19;100;0:00.25;177640;0,19;99;0:00.25;177936;0,18;100;0:00.24;177640;0,19;99;0:00.25;177864;0,18;100;0:00.24;177632;0,2;99;0:00.25;177744;0,19;99;0:00.25;177744;80;135;5;0,191538462;99,46153846;177715,6923;;;4,74359E-05;;
