User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);n;t;k;AVG User time;AVG Percent of CPU;AVG Resident set;;;varianza user time;;
0,2;138;0:00.30;668780;0,22;141;0:00.30;668796;0,21;139;0:00.30;668680;0,21;140;0:00.30;668692;0,22;140;0:00.30;668720;0,21;140;0:00.30;668780;0,18;137;0:00.31;668648;0,22;139;0:00.30;668644;0,2;137;0:00.30;668900;0,22;140;0:00.30;668612;0,23;136;0:00.30;668620;0,23;139;0:00.30;668672;0,21;140;0:00.30;668636;80;90;5;0,212307692;138,9230769;668706,1538;;;0,000185897;;
0,21;137;0:00.31;668672;0,2;138;0:00.30;668656;0,19;139;0:00.30;668792;0,25;141;0:00.30;668876;0,2;139;0:00.30;668620;0,22;140;0:00.30;668724;0,22;138;0:00.31;668652;0,21;137;0:00.29;668664;0,23;139;0:00.30;668732;0,2;138;0:00.30;668676;0,2;138;0:00.30;668652;0,22;140;0:00.30;668676;0,2;140;0:00.30;668764;80;95;5;0,211538462;138,7692308;668704,3077;;;0,000264103;;
0,21;138;0:00.30;668616;0,2;141;0:00.30;668628;0,2;140;0:00.30;668904;0,23;140;0:00.30;668632;0,18;136;0:00.31;668712;0,23;140;0:00.30;668648;0,21;137;0:00.31;668620;0,17;137;0:00.30;668648;0,21;140;0:00.30;668660;0,24;140;0:00.30;668624;0,21;140;0:00.30;668728;0,21;141;0:00.30;668676;0,23;140;0:00.30;668716;80;100;5;0,21;139,2307692;668677,8462;;;0,0004;;
0,22;136;0:00.31;668724;0,21;140;0:00.30;668664;0,18;137;0:00.31;668656;0,2;140;0:00.30;668652;0,2;140;0:00.30;668732;0,21;138;0:00.30;668628;0,21;140;0:00.31;668728;0,22;139;0:00.30;668912;0,19;141;0:00.30;668692;0,19;136;0:00.30;668764;0,21;138;0:00.30;668796;0,2;140;0:00.30;668632;0,19;134;0:00.31;668752;80;105;5;0,202307692;138,3846154;668717,8462;;;0,000152564;;
0,21;140;0:00.31;668760;0,21;141;0:00.30;668740;0,19;138;0:00.30;668668;0,2;140;0:00.30;668720;0,22;138;0:00.30;668736;0,19;139;0:00.30;668784;0,18;137;0:00.31;668904;0,2;139;0:00.30;668764;0,2;140;0:00.30;668736;0,23;140;0:00.30;668668;0,22;140;0:00.30;668804;0,22;141;0:00.30;668664;0,23;138;0:00.31;668760;80;110;5;0,207692308;139,3076923;668746,7692;;;0,000252564;;
0,2;141;0:00.30;668760;0,19;138;0:00.31;668672;0,21;140;0:00.30;668740;0,2;140;0:00.31;668880;0,22;140;0:00.30;668796;0,19;136;0:00.30;668800;0,2;139;0:00.31;668660;0,2;138;0:00.31;668676;0,19;134;0:00.31;668744;0,22;140;0:00.30;668804;0,19;136;0:00.30;668792;0,21;136;0:00.30;668736;0,19;139;0:00.30;668624;80;115;5;0,200769231;138,2307692;668744,9231;;;0,000124359;;
0,18;137;0:00.30;668660;0,2;137;0:00.29;668912;0,21;138;0:00.31;668656;0,22;138;0:00.30;668748;0,21;140;0:00.30;668904;0,22;140;0:00.31;668684;0,19;134;0:00.31;668764;0,21;138;0:00.30;668644;0,22;140;0:00.30;668660;0,19;136;0:00.30;668736;0,21;141;0:00.30;668740;0,18;132;0:00.30;668740;0,22;138;0:00.30;668664;80;120;5;0,204615385;137,6153846;668731,6923;;;0,000226923;;
0,23;141;0:00.30;668796;0,21;139;0:00.30;668736;0,2;135;0:00.30;668668;0,18;133;0:00.31;668720;0,21;140;0:00.31;668672;0,2;139;0:00.30;668632;0,23;139;0:00.30;668736;0,22;140;0:00.30;668676;0,2;134;0:00.30;668736;0,2;141;0:00.30;668800;0,18;131;0:00.30;668668;0,19;134;0:00.30;668772;0,19;135;0:00.31;668640;80;125;5;0,203076923;137;668711,6923;;;0,000273077;;
0,21;137;0:00.31;668900;0,22;140;0:00.30;668804;0,22;140;0:00.30;668912;0,22;138;0:00.30;668772;0,18;137;0:00.30;668632;0,21;140;0:00.31;668672;0,21;136;0:00.30;668660;0,21;139;0:00.30;668684;0,21;135;0:00.30;668744;0,22;140;0:00.30;668740;0,18;138;0:00.30;668740;0,2;139;0:00.30;668636;0,22;140;0:00.31;668780;80;130;5;0,208461538;138,3846154;668744,3077;;;0,000197436;;
0,21;139;0:00.30;668728;0,2;136;0:00.31;668804;0,22;141;0:00.30;668668;0,21;139;0:00.30;668784;0,18;139;0:00.30;668688;0,21;138;0:00.30;668788;0,24;140;0:00.31;668648;0,22;139;0:00.31;668744;0,23;141;0:00.30;668696;0,18;130;0:00.30;668636;0,19;140;0:00.30;668668;0,23;139;0:00.30;668908;0,22;140;0:00.30;668728;80;135;5;0,210769231;138,5384615;668729,8462;;;0,000357692;;
0,19;133;0:00.30;668724;0,21;137;0:00.30;668668;0,19;137;0:00.31;668772;0,2;140;0:00.30;668892;0,19;135;0:00.30;668672;0,23;139;0:00.31;668664;0,19;135;0:00.31;668728;0,24;141;0:00.30;668916;0,19;139;0:00.31;668672;0,22;139;0:00.30;668768;0,22;140;0:00.30;668664;0,22;139;0:00.30;668640;0,22;138;0:00.30;668720;80;140;5;0,208461538;137,8461538;668730,7692;;;0,000314103;;
0,21;139;0:00.31;668680;0,23;139;0:00.30;668796;0,17;137;0:00.30;668668;0,19;136;0:00.30;668720;0,18;138;0:00.30;668668;0,23;140;0:00.30;668660;0,24;140;0:00.31;668648;0,22;139;0:00.30;668688;0,2;136;0:00.30;668660;0,22;141;0:00.30;668636;0,19;132;0:00.30;668772;0,21;141;0:00.30;668728;0,19;138;0:00.30;668656;80;145;5;0,206153846;138,1538462;668690,7692;;;0,000458974;;
0,22;139;0:00.31;668660;0,19;137;0:00.30;668744;0,22;139;0:00.30;668796;0,22;140;0:00.30;668776;0,18;136;0:00.30;668764;0,24;140;0:00.30;668732;0,21;137;0:00.31;668684;0,19;138;0:00.30;668664;0,21;140;0:00.30;668744;0,2;140;0:00.30;668736;0,2;139;0:00.31;668792;0,22;140;0:00.30;668688;0,2;140;0:00.30;668792;80;150;5;0,207692308;138,8461538;668736,3077;;;0,000269231;;
0,21;140;0:00.30;668680;0,24;139;0:00.30;668744;0,21;138;0:00.30;668736;0,21;138;0:00.30;668720;0,2;140;0:00.30;668664;0,19;139;0:00.30;668660;0,23;137;0:00.31;668652;0,22;140;0:00.30;668800;0,2;139;0:00.30;668672;0,22;138;0:00.30;668908;0,22;141;0:00.30;668804;0,21;141;0:00.30;668652;0,21;137;0:00.31;668656;80;155;5;0,213076923;139;668719,0769;;;0,000173077;;
