;;;BFKC;;;DSK;;;KMC;;;TURTLE;;
n;t;k;AVG User time;AVG Percent of CPU;AVG Resident set;AVG User time;AVG Percent of CPU;AVG Resident set;AVG User time;AVG Percent of CPU;AVG Resident set;AVG User time;AVG Percent of CPU;AVG Resident set
75;75;10;0,763076923;99,76923077;1716,307692;0,225384615;134,7692308;672981,2308;0,074615385;103,7692308;36476,30769;0,194615385;99,61538462;177386,4615
80;80;10;1;99,84615385;1764,307692;0,223846154;135,6153846;672992,9231;0,072307692;103,3076923;36475,38462;0,197692308;99,53846154;177409,8462
80;85;10;1,130769231;99,76923077;1787,384615;0,22;134,2307692;672976;0,073076923;103,4615385;36477,23077;0,196153846;99,46153846;177462,7692
80;90;10;1,265384615;99,84615385;1789,846154;0,217692308;135,6923077;672980,6154;0,073076923;103,2307692;36475,07692;0,195384615;99,46153846;177462,4615
80;95;10;1,408461538;99,61538462;1809,538462;0,223076923;133,6153846;672977,2308;0,073076923;103,1538462;36475,38462;0,198461538;99,46153846;177457,5385
80;100;10;1,560769231;99,84615385;1830,461538;0,225384615;135,0769231;672999,6923;0,073076923;103,1538462;36476,30769;0,194615385;99,38461538;177471,3846
80;105;10;1,713846154;99,84615385;1845,230769;0,219230769;133,6153846;673025,2308;0,075384615;103,3076923;36489,23077;0,196923077;99,38461538;177439,3846
80;110;10;1,877692308;99,92307692;1834,153846;0,220769231;135,0769231;673034,4615;0,07;103,1538462;36486,76923;0,196923077;99,23076923;177516
80;115;10;2,053076923;99,53846154;1862,153846;0,226923077;134,9230769;673015,3846;0,076153846;103,3846154;36488,30769;0,196923077;99,46153846;177575,6923
80;120;10;2,238461538;99,69230769;1917,230769;0,22;135,2307692;673018,7692;0,073846154;103,4615385;36488,92308;0,195384615;99,30769231;177501,5385
80;125;10;2,433846154;99,84615385;1855,384615;0,216923077;134,6923077;673031,0769;0,071538462;103,3076923;36487,69231;0,196153846;99,76923077;177713,8462
80;130;10;2,616923077;99,38461538;1889,230769;0,223846154;135,1538462;672996;0,073846154;103,5384615;36488;0,196923077;99,46153846;177747,0769
80;135;10;2,819230769;99,76923077;1937,230769;0,220769231;134,7692308;673054,4615;0,078461538;103,4615385;36489,53846;0,197692308;99,76923077;177705,8462
80;140;10;3,045384615;99,84615385;1921,846154;0,218461538;134,8461538;672969,8462;0,070769231;103,2307692;36487,69231;0,195384615;99,53846154;177734,1538
80;145;10;3,244615385;99,84615385;1948,923077;0,222307692;135,0769231;672995,0769;0,074615385;103,5384615;36488;0,195384615;99,61538462;177773,2308
80;150;10;3,484615385;99,76923077;1962,769231;0,229230769;135,0769231;672994,7692;0,074615385;103,3846154;36488,61538;0,202307692;99,53846154;177794,1538
